analysesRemaining,analysesUsed,analysisCount,company,daysSinceSignup,email,emailVerified,firstName,lastAnalysisDate,lastName,loginCount,signupDate,subscriptionTier
3,0,0,,12,test-1766253941674@example.com,False,,,,1,2025-12-20T18:05:42.506Z,free
3,0,0,,12,bugtest-1766253963543@example.com,False,,,,1,2025-12-20T18:06:04.351Z,free
3,0,0,,12,test-1766253997374@example.com,False,,,,1,2025-12-20T18:06:38.110Z,free
3,0,0,,12,bugtest-1766254018671@example.com,False,,,,1,2025-12-20T18:06:59.471Z,free
3,0,0,,12,test-1766254050206@example.com,False,,,,1,2025-12-20T18:07:30.835Z,free
3,0,0,,12,bugtest-1766254071891@example.com,False,,,,1,2025-12-20T18:07:52.506Z,free
3,0,0,,12,test-1766254125026@example.com,False,,,,1,2025-12-20T18:08:45.955Z,free
3,0,0,,12,bugtest-1766254147867@example.com,False,,,,1,2025-12-20T18:09:08.555Z,free
3,0,0,,11,test-1766292373481@example.com,False,,,,1,2025-12-21T04:46:14.620Z,free
3,0,0,,11,bugtest-1766292396566@example.com,False,,,,1,2025-12-21T04:46:37.211Z,free
3,0,0,,11,test-1766297341613@example.com,False,,,,1,2025-12-21T06:09:02.367Z,free
3,0,0,,11,bugtest-1766297369590@example.com,False,,,,1,2025-12-21T06:09:30.316Z,free
3,0,0,,11,test-1766297449177@example.com,False,,,,1,2025-12-21T06:10:50.074Z,free
3,0,0,,11,bugtest-1766297478996@example.com,False,,,,1,2025-12-21T06:11:19.754Z,free
3,0,0,,11,test-1766297990980@example.com,False,,,,1,2025-12-21T06:19:51.694Z,free
3,0,0,,11,bugtest-1766298019423@example.com,False,,,,1,2025-12-21T06:20:20.376Z,free
3,0,0,,7,testunique1766698854@example.com,False,Test,,User,1,2025-12-25T21:40:54.751Z,free
3,0,0,,7,test.1766700933908@propiq-test.com,False,,,,1,2025-12-25T22:15:41.782Z,free
3,0,0,,7,duplicate.1766700953761@test.com,False,Test,,,1,2025-12-25T22:15:54.119Z,free
3,0,0,,7,login.1766700955609@test.com,False,Login,,Test,2,2025-12-25T22:15:55.912Z,free
3,0,0,,7,session.1766700960336@test.com,False,Session,,,1,2025-12-25T22:16:00.737Z,free
3,0,0,,7,logout.1766700967034@test.com,False,,,,0,2025-12-25T22:16:07.314Z,free
3,0,0,,7,rapid.1766700973066@test.com,False,,,,5,2025-12-25T22:16:13.341Z,free
3,0,0,,6,test.1766714893640@propiq-test.com,False,,,,1,2025-12-26T02:08:21.169Z,free
3,0,0,,6,duplicate.1766714904713@test.com,False,Test,,,1,2025-12-26T02:08:25.216Z,free
3,0,0,,6,login.1766714905891@test.com,False,Login,,Test,2,2025-12-26T02:08:26.395Z,free
3,0,0,,6,session.1766714910854@test.com,False,Session,,,1,2025-12-26T02:08:31.344Z,free
3,0,0,,6,logout.1766714913556@test.com,False,,,,0,2025-12-26T02:08:34.458Z,free
3,0,0,,6,rapid.1766714916273@test.com,False,,,,6,2025-12-26T02:08:36.768Z,free
3,0,0,,6,test.1766714921051@propiq-test.com,False,,,,1,2025-12-26T02:09:17.991Z,free
3,0,0,,6,duplicate.1766714968652@test.com,False,Test,,,1,2025-12-26T02:09:29.263Z,free
3,0,0,,6,login.1766714972040@test.com,False,Login,,Test,2,2025-12-26T02:09:32.632Z,free
3,0,0,,6,session.1766714982259@test.com,False,Session,,,1,2025-12-26T02:09:42.835Z,free
3,0,0,,6,logout.1766715004502@test.com,False,,,,0,2025-12-26T02:10:05.423Z,free
3,0,0,,6,rapid.1766715011453@test.com,False,,,,5,2025-12-26T02:10:12.973Z,free
3,0,0,,6,test.1766715073184@propiq-test.com,False,,,,1,2025-12-26T02:11:23.374Z,free
3,0,0,,6,login.1766715092234@test.com,False,Login,,Test,2,2025-12-26T02:11:32.754Z,free
3,0,0,,6,session.1766715096585@test.com,False,Session,,,1,2025-12-26T02:11:37.106Z,free
3,0,0,,6,duplicate.1766715098473@test.com,False,Test,,,1,2025-12-26T02:11:39.301Z,free
3,0,0,,6,logout.1766715101847@test.com,False,,,,0,2025-12-26T02:11:42.398Z,free
3,0,0,,6,rapid.1766715103985@test.com,False,,,,5,2025-12-26T02:11:44.519Z,free
3,0,0,,6,test.1766715111369@propiq-test.com,False,,,,1,2025-12-26T02:12:30.413Z,free
3,0,0,,6,duplicate.1766715180904@test.com,False,Test,,,1,2025-12-26T02:13:04.095Z,free
3,0,0,,6,login.1766715187006@test.com,False,Login,,Test,2,2025-12-26T02:13:07.718Z,free
3,0,0,,6,session.1766715194204@test.com,False,Session,,,1,2025-12-26T02:13:14.933Z,free
3,0,0,,6,logout.1766715203597@test.com,False,,,,0,2025-12-26T02:13:24.251Z,free
3,0,0,,6,rapid.1766715207984@test.com,False,,,,5,2025-12-26T02:13:28.687Z,free
3,0,0,,6,test123@example.com,False,Test,,User,24,2025-12-26T14:17:58.678Z,free
3,0,0,,6,test456@example.com,False,Test,,User,1,2025-12-26T14:18:32.022Z,free
3,0,0,,6,api-test-1766761003056@example.com,False,API,,Test,1,2025-12-26T14:56:44.373Z,free
3,0,0,,6,api-test-1766761126721@example.com,False,API,,Test,1,2025-12-26T14:58:47.531Z,free
3,0,0,,6,api-test-1766761195236@example.com,False,API,,Test,1,2025-12-26T14:59:56.239Z,free
3,0,0,,6,api-test-1766766432378@example.com,False,API,,Test,1,2025-12-26T16:27:14.250Z,free
3,0,0,,6,api-test-1766766583593@example.com,False,API,,Test,1,2025-12-26T16:29:45.006Z,free
3,0,0,,6,api-test-1766766669039@example.com,False,API,,Test,1,2025-12-26T16:31:10.415Z,free
3,0,0,,6,api-test-1766767156070@example.com,False,API,,Test,1,2025-12-26T16:39:18.121Z,free
3,0,0,,6,api-test-1766767318499@example.com,False,API,,Test,1,2025-12-26T16:42:00.181Z,free
3,0,0,,6,api-test-1766767476029@example.com,False,API,,Test,1,2025-12-26T16:44:37.168Z,free
3,0,0,,6,test-admin-dec26@example.com,False,Test,,Admin,0,2025-12-26T22:09:42.234Z,free
3,0,0,,5,api-test-1766798764238@example.com,False,API,,Test,1,2025-12-27T01:26:05.284Z,free
3,0,0,,5,api-test-1766798837806@example.com,False,API,,Test,1,2025-12-27T01:27:18.588Z,free
3,0,0,,5,api-test-1766798910386@example.com,False,API,,Test,1,2025-12-27T01:28:32.313Z,free
3,0,0,,5,budsape+emailtest2@gmail.com,False,Brian,,EmailTest,0,2025-12-27T03:51:38.384Z,free
3,0,0,,5,thewildwebstudio@gmail.com,False,,,,0,2025-12-27T05:27:38.990Z,free
3,0,0,,5,basement808s@gmaiil.com,False,,,,0,2025-12-27T05:37:13.671Z,free
3,0,0,,5,basement808s@gmail.com,False,,,,0,2025-12-27T05:41:31.776Z,free
3,0,0,PropIQ Testing,2,propiq-test-session@example.com,False,Test,,User,8,2025-12-30T18:14:44.304Z,free
